County,American Indian and Alaska Native alone,Asian alone,Black or African American alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,White alone
"Adair County, Iowa",2,24,27,0,13,48,7312
"Adams County, Iowa",2,11,27,0,0,64,3788
"Allamakee County, Iowa",29,39,99,3,46,252,13592
"Appanoose County, Iowa",4,47,43,0,13,215,12347
"Audubon County, Iowa",39,19,19,0,0,60,5732
"Benton County, Iowa",8,55,181,0,65,268,25226
"Black Hawk County, Iowa",327,2246,12130,23,1997,2861,112912
"Boone County, Iowa",54,85,235,10,30,329,25658
"Bremer County, Iowa",49,187,269,45,60,192,23737
"Buchanan County, Iowa",73,95,79,0,78,159,20514
"Buena Vista County, Iowa",6,1589,590,181,1119,411,16611
"Butler County, Iowa",20,70,59,0,0,115,14702
"Calhoun County, Iowa",44,29,134,0,21,153,9533
"Carroll County, Iowa",14,16,314,7,69,184,20025
"Cass County, Iowa",45,52,57,14,49,120,13253
"Cedar County, Iowa",14,113,72,0,53,252,17871
"Cerro Gordo County, Iowa",98,492,544,0,249,773,41325
"Cherokee County, Iowa",42,13,54,0,23,187,11534
"Chickasaw County, Iowa",9,69,67,0,23,67,12009
"Clarke County, Iowa",0,42,13,0,247,68,8910
"Clay County, Iowa",18,29,118,63,200,252,15857
"Clayton County, Iowa",9,56,166,0,12,179,17384
"Clinton County, Iowa",197,322,1352,0,285,929,45280
"Crawford County, Iowa",148,54,209,31,616,404,15790
"Dallas County, Iowa",50,2551,843,68,926,1560,68894
"Davis County, Iowa",0,27,18,0,0,85,8612
"Decatur County, Iowa",42,58,139,13,11,111,7875
"Delaware County, Iowa",3,59,39,0,7,197,17202
"Des Moines County, Iowa",45,252,2194,0,128,1044,36545
"Dickinson County, Iowa",23,39,52,33,30,207,16583
"Dubuque County, Iowa",91,1273,1862,300,210,2382,89788
"Emmet County, Iowa",38,17,149,10,38,90,9575
"Fayette County, Iowa",105,157,223,0,39,275,19790
"Floyd County, Iowa",1,121,325,7,58,336,15202
"Franklin County, Iowa",7,24,112,0,555,131,9660
"Fremont County, Iowa",45,0,21,0,60,100,6880
"Greene County, Iowa",4,40,5,3,0,140,8982
"Grundy County, Iowa",16,47,51,0,13,84,12196
"Guthrie County, Iowa",12,16,81,25,49,62,10495
"Hamilton County, Iowa",0,342,102,0,357,170,14326
"Hancock County, Iowa",14,34,72,8,45,150,10769
"Hardin County, Iowa",48,167,178,0,171,170,16659
"Harrison County, Iowa",58,39,8,4,34,199,14125
"Henry County, Iowa",56,437,478,0,239,399,18471
"Howard County, Iowa",1,21,31,0,10,103,9328
"Humboldt County, Iowa",7,23,13,0,20,134,9477
"Ida County, Iowa",34,24,39,0,20,41,6913
"Iowa County, Iowa",7,31,137,11,23,125,16010
"Jackson County, Iowa",13,79,35,117,10,274,19044
"Jasper County, Iowa",106,211,542,14,51,484,35318
"Jefferson County, Iowa",14,1372,246,0,367,575,14744
"Johnson County, Iowa",309,8327,7596,202,2717,2954,117331
"Jones County, Iowa",176,84,394,0,75,173,19658
"Keokuk County, Iowa",27,22,0,1,49,126,10066
"Kossuth County, Iowa",13,60,57,0,54,171,14925
"Lee County, Iowa",35,180,1068,0,204,849,33033
"Linn County, Iowa",527,4303,9147,33,2034,6169,194427
"Louisa County, Iowa",26,286,103,11,380,67,10398
"Lucas County, Iowa",22,30,20,0,0,124,8535
"Lyon County, Iowa",67,38,7,2,96,103,11410
"Madison County, Iowa",13,157,91,11,32,98,15242
"Mahaska County, Iowa",47,254,310,8,98,299,21380
"Marion County, Iowa",58,348,182,0,139,506,32015
"Marshall County, Iowa",145,1183,709,0,3666,684,34575
"Mills County, Iowa",61,12,107,0,6,180,14496
"Mitchell County, Iowa",2,10,15,0,12,90,10633
"Monona County, Iowa",117,11,49,0,6,79,8826
"Monroe County, Iowa",2,45,11,0,129,228,7587
"Montgomery County, Iowa",19,3,0,0,136,275,10032
"Muscatine County, Iowa",104,533,664,25,1028,1105,39454
"O'Brien County, Iowa",29,119,72,2,337,174,13359
"Osceola County, Iowa",22,16,25,0,165,50,5933
"Page County, Iowa",61,183,331,0,27,254,14804
"Palo Alto County, Iowa",8,37,116,0,10,87,8950
"Plymouth County, Iowa",26,85,126,75,237,244,24060
"Pocahontas County, Iowa",4,9,97,8,41,90,6878
"Polk County, Iowa",1203,17835,28241,307,6814,11718,386251
"Pottawattamie County, Iowa",291,574,1200,6,1160,1944,88038
"Poweshiek County, Iowa",24,391,217,21,47,267,17738
"Ringgold County, Iowa",28,24,12,0,1,47,4949
"Sac County, Iowa",2,0,71,3,32,104,9889
"Scott County, Iowa",434,3892,13115,16,1679,4342,146516
"Shelby County, Iowa",13,58,23,0,203,174,11521
"Sioux County, Iowa",86,254,150,6,1701,378,31934
"Story County, Iowa",173,6132,2274,31,317,2285,82374
"Tama County, Iowa",1273,46,89,5,225,340,15501
"Taylor County, Iowa",18,38,13,0,108,79,5957
"Union County, Iowa",51,42,124,14,1,99,12244
"Van Buren County, Iowa",9,18,45,0,6,76,7278
"Wapello County, Iowa",55,317,728,7,1239,475,32494
"Warren County, Iowa",98,183,239,51,177,760,46034
"Washington County, Iowa",2,101,183,12,255,352,21112
"Wayne County, Iowa",20,4,30,0,0,95,6235
"Webster County, Iowa",144,406,1604,0,276,582,34283
"Winnebago County, Iowa",80,115,98,1,38,114,10168
"Winneshiek County, Iowa",62,259,198,0,62,114,20189
"Woodbury County, Iowa",1859,2681,2862,20,4728,3009,87371
"Worth County, Iowa",10,12,73,0,19,98,7351
"Wright County, Iowa",31,65,49,14,367,163,12247
